postcode,region_id,city,region
211011,517,Allahabad,Uttar Pradesh
211012,517,Allahabad,Uttar Pradesh
211014,517,Allahabad,Uttar Pradesh
211015,517,Allahabad,Uttar Pradesh
211016,517,Allahabad,Uttar Pradesh
211017,517,Allahabad,Uttar Pradesh
211018,517,Allahabad,Uttar Pradesh
211019,517,Allahabad,Uttar Pradesh
221001,517,Varanasi,Uttar Pradesh
221002,517,Varanasi,Uttar Pradesh
221003,517,Varanasi,Uttar Pradesh
221004,517,Varanasi,Uttar Pradesh
221005,517,Varanasi,Uttar Pradesh
221006,517,Varanasi,Uttar Pradesh
221007,517,Varanasi,Uttar Pradesh
221010,517,Varanasi,Uttar Pradesh
221103,517,Varanasi,Uttar Pradesh
221105,517,Varanasi,Uttar Pradesh
221106,517,Varanasi,Uttar Pradesh
221109,517,Varanasi,Uttar Pradesh
221401,517,Bhadohi,Uttar Pradesh
222001,517,Varanasi,Uttar Pradesh
224001,517,Faizabad,Uttar Pradesh
224123,517,Faizabad,Uttar Pradesh
224133,517,Faizabad,Uttar Pradesh
224135,517,Faizabad,Uttar Pradesh
224201,517,Faizabad,Uttar Pradesh
225001,517,Barabanki,Uttar Pradesh
225002,517,Barabanki,Uttar Pradesh
226001,517,Lucknow,Uttar Pradesh
226002,517,Lucknow,Uttar Pradesh
226003,517,Lucknow,Uttar Pradesh
226004,517,Lucknow,Uttar Pradesh
226005,517,Lucknow,Uttar Pradesh
226006,517,Lucknow,Uttar Pradesh
226007,517,Lucknow,Uttar Pradesh
226008,517,Lucknow,Uttar Pradesh
226009,517,Lucknow,Uttar Pradesh
226010,517,Lucknow,Uttar Pradesh
226011,517,Lucknow,Uttar Pradesh
226012,517,Lucknow,Uttar Pradesh
226013,517,Lucknow,Uttar Pradesh
226014,517,Lucknow,Uttar Pradesh
226015,517,Lucknow,Uttar Pradesh
226016,517,Lucknow,Uttar Pradesh
226017,517,Lucknow,Uttar Pradesh
226018,517,Lucknow,Uttar Pradesh
226019,517,Lucknow,Uttar Pradesh
226020,517,Lucknow,Uttar Pradesh
226021,517,Lucknow,Uttar Pradesh
226022,517,Lucknow,Uttar Pradesh
226023,517,Lucknow,Uttar Pradesh
226024,517,Lucknow,Uttar Pradesh
226025,517,Lucknow,Uttar Pradesh
226026,517,Lucknow,Uttar Pradesh
227105,517,Lucknow,Uttar Pradesh
228001,517,Sultanpur,Uttar Pradesh
229001,517,Raebareli,Uttar Pradesh
229010,517,Raebareli,Uttar Pradesh
229405,517,Raebareli,Uttar Pradesh
230001,517,Allahabad,Uttar Pradesh
231001,517,Badohi,Uttar Pradesh
231217,517,Varanasi,Uttar Pradesh
233001,517,Varanasi,Uttar Pradesh
241001,517,Hardoi,Uttar Pradesh
242001,517,Shahjahanpur,Uttar Pradesh
243001,517,Bareilly,Uttar Pradesh
243003,517,Bareilly,Uttar Pradesh
243005,517,Bareilly,Uttar Pradesh
243006,517,Bareilly,Uttar Pradesh
243122,517,Bareilly,Uttar Pradesh
244001,517,Moradabad,Uttar Pradesh
244103,517,Moradabad,Uttar Pradesh
244713,519,Moradabad,Uttarakhand
245101,517,Hapur,Uttar Pradesh
247001,517,Sahranpur,Uttar Pradesh
247661,519,Roorkee,Uttarakhand
247664,519,Haridwar,Uttarakhand
247667,519,Roorkee,Uttarakhand
248001,519,Dehradun,Uttarakhand
248002,519,Dehradun,Uttarakhand
248003,519,Dehradun,Uttarakhand
248005,519,Dehradun,Uttarakhand
248006,519,Dehradun,Uttarakhand
248007,519,Dehradun,Uttarakhand
248008,519,Dehradun,Uttarakhand
248009,519,Dehradun,Uttarakhand
248010,519,Dehradun,Uttarakhand
248102,519,Dehradun,Uttarakhand
248110,519,Dehradun,Uttarakhand
248115,519,Dehradun,Uttarakhand
248121,519,Dehradun,Uttarakhand
248126,519,Dehradun,Uttarakhand
248141,519,Dehradun,Uttarakhand
248146,519,Dehradun,Uttarakhand
248160,519,Dehradun,Uttarakhand
248161,519,Haridwar,Uttarakhand
248171,519,Dehradun,Uttarakhand
248179,519,Dehradun,Uttarakhand
248195,519,Dehradun,Uttarakhand
248197,519,Selaqui,Uttarakhand
249201,519,Haridwar,Uttarakhand
249401,519,Haridwar,Uttarakhand
249403,519,Haridwar,Uttarakhand
249404,519,Haridwar,Uttarakhand
249407,519,Haridwar,Uttarakhand
249408,519,Haridwar,Uttarakhand
249409,519,Haridwar,Uttarakhand
249410,519,Haridwar,Uttarakhand
249411,519,Haridwar,Uttarakhand
250001,517,Meerut,Uttar Pradesh
250002,517,Meerut,Uttar Pradesh
250003,517,Meerut,Uttar Pradesh
250004,517,Meerut,Uttar Pradesh
250005,517,Meerut,Uttar Pradesh
250103,517,Meerut,Uttar Pradesh
250105,517,Meerut,Uttar Pradesh
250110,517,Meerut,Uttar Pradesh
251001,517,Muzaffarnagar,Uttar Pradesh
251002,517,Muzaffarnagar,Uttar Pradesh
251003,517,Muzaffarnagar,Uttar Pradesh
261001,517,Sitapur,Uttar Pradesh
262405,519,Sitar Ganj,Uttarakhand
262701,517,Lucknow,Uttar Pradesh
262802,517,Lucknow,Uttar Pradesh
263139,519,New Delhi,Uttarakhand
263153,519,Rudrapur,Uttarakhand
273001,517,Gorakhpur,Uttar Pradesh
273003,517,Gorakhpur,Uttar Pradesh
273004,517,Gorakhpur,Uttar Pradesh
273005,517,Gorakhpur,Uttar Pradesh
273006,517,Gorakhpur,Uttar Pradesh
273008,517,Gorakhpur,Uttar Pradesh
273009,517,Gorakhpur,Uttar Pradesh
273010,517,Gorakhpur,Uttar Pradesh
273012,517,Gorakhpur,Uttar Pradesh
